Category	Year	Total	Voted	Percentage
Marshall	2016	4163	904	21.72%
Muir	2016	4448	990	22.26%
Revelle	2016	4493	765	17.03%
Roosevelt	2016	4500	843	18.73%
Sixth	2016	4565	698	15.29%
Warren	2016	4370	773	17.69%
Total	2016	26539	4973	18.74%
				
Graduate School	2015	4357	470	10.79%
Roosevelt College	2015	3787	1245	32.88%
Pharmacy School	2015	244	16	6.56%
Sixth College	2015	3938	920	23.36%
Muir College	2015	3911	1114	28.48%
Internation Relations	2015	273	20	7.33%
Revelle College	2015	3950	1009	25.54%
Marshall College	2015	3651	1209	33.11%
Medical School	2015	426	27	6.34%
Rady School	2015	282	13	4.61%
Warren College	2015	4036	1010	25.02%
Total	2015	28855	7053	24.44%
				
Graduate School	2013	4149	544	13.11%
Revelle College	2013	3491	953	27.30%
Roosevelt College	2013	3356	765	22.80%
Pharmacy School	2013	227	21	9.25%
Sixth College	2013	3383	706	20.87%
Marshall College	2013	3569	825	23.12%
Medical School	2013	436	28	6.42%
Muir College	2013	3658	1038	28.38%
Warren College	2013	3813	870	22.82%
Total	2013	26082	5750	22.05%
				
Revelle College	2012	3430	724	21.11%
Roosevelt College	2012	3442	688	19.99%
Sixth College	2012	3286	634	19.29%
Marshall College	2012	3757	850	22.62%
Muir College	2012	3852	863	22.40%
Warren College	2012	3796	782	20.60%
Total	2012	21563	4541	21.06%
				
Graduate School	2011	4026	1176	29.21%
Revelle College	2011	3543	1044	29.47%
Roosevelt College	2011	3619	994	27.47%
Pharmacy School	2011	234	73	31.20%
Sixth College	2011	3327	949	28.52%
Marshall College	2011	3809	978	25.68%
Medical School	2011	440	95	21.59%
Muir College	2011	4044	1129	27.92%
Warren College	2011	3966	1005	25.34%
Total	2011	27008	7443	27.56%
				
Revelle College	2010	3656	795	21.75%
Roosevelt College	2010	3602	855	23.74%
Sixth College	2010	3313	769	23.21%
Marshall College	2010	3875	981	25.32%
Muir College	2010	4044	871	21.54%
Warren College	2010	4016	849	21.14%
Total	2010	22506	5120	22.75%
				
Revelle College	2009	3703	821	22.17%
Roosevelt College	2009	3488	937	26.86%
Sixth College	2009	3036	787	25.92%
Marshall College	2009	3741	975	26.06%
Muir College	2009	4134	962	23.27%
Warren College	2009	4127	915	22.17%
Total	2009	22229	5397	24.28%
				
Revelle College	2008	3653	327	8.95%
Roosevelt College	2008	3338	385	11.53%
Sixth College	2008	2737	259	9.46%
Marshall College	2008	3572	291	8.15%
Muir College	2008	4050	349	8.62%
Warren College	2008	4135	345	8.34%
Total	2008	21485	1956	9.10%
